"location_id","borough","zone","service_zone","latitude","longitude","geolocation"
134,"Queens","Kew Gardens","Boro Zone","40.7095633","-73.8307965","(40.7095633, -73.8307965)"
135,"Queens","Kew Gardens Hills","Boro Zone","40.7274987","-73.82172037073292","(40.7274987, -73.82172037073292)"
136,"Bronx","Kingsbridge Heights","Boro Zone","40.8725702","-73.9026619","(40.8725702, -73.9026619)"
137,"Manhattan","Kips Bay","Yellow Zone","40.7395463","-73.9770832","(40.7395463, -73.9770832)"
138,"Queens","LaGuardia Airport","Airports","40.7757145","-73.87336398511545","(40.7757145, -73.87336398511545)"
139,"Queens","Laurelton","Boro Zone","40.668518","-73.7518434","(40.668518, -73.7518434)"
140,"Manhattan","Lenox Hill East","Yellow Zone","40.7680821","-73.9601056530546","(40.7680821, -73.9601056530546)"
141,"Manhattan","Lenox Hill West","Yellow Zone","40.766155","-73.963037","(40.766155, -73.963037)"
142,"Manhattan","Lincoln Square East","Yellow Zone","40.77469","-73.982727","(40.77469, -73.982727)"
143,"Manhattan","Lincoln Square West","Yellow Zone","40.775821","-73.986475","(40.775821, -73.986475)"
144,"Manhattan","Little Italy/NoLiTa","Yellow Zone","40.7196926","-73.99719125","(40.7196926, -73.99719125)"
145,"Queens","Long Island City/Hunters Point","Boro Zone","40.74007535","-73.9598202","(40.74007535, -73.9598202)"
146,"Queens","Long Island City/Queens Plaza","Boro Zone","40.7451766","-73.94750565","(40.7451766, -73.94750565)"
147,"Bronx","Longwood","Boro Zone","40.8169578","-73.8973154","(40.8169578, -73.8973154)"
148,"Manhattan","Lower East Side","Yellow Zone","40.7159357","-73.9868057","(40.7159357, -73.9868057)"
149,"Brooklyn","Madison","Boro Zone","40.612528","-73.9452","(40.612528, -73.9452)"
150,"Brooklyn","Manhattan Beach","Boro Zone","40.5779176","-73.9440833","(40.5779176, -73.9440833)"
151,"Manhattan","Manhattan Valley","Yellow Zone","40.7970144","-73.969726","(40.7970144, -73.969726)"
152,"Manhattan","Manhattanville","Boro Zone","40.8176657","-73.95851439291599","(40.8176657, -73.95851439291599)"
153,"Manhattan","Marble Hill","Boro Zone","40.8749243","-73.9127022","(40.8749243, -73.9127022)"
154,"Brooklyn","Marine Park/Floyd Bennett Field","Boro Zone","40.600053925","-73.9111161727974","(40.600053925, -73.9111161727974)"
155,"Brooklyn","Marine Park/Mill Basin","Boro Zone","40.60770587500001","-73.9208910227974","(40.60770587500001, -73.9208910227974)"
156,"Staten Island","Mariners Harbor","Boro Zone","40.6367701","-74.1587547","(40.6367701, -74.1587547)"
